Question,Answer
Verkaardag,Cool! Could you tell me where is it?
Fiesta organizada por una pena ,Exciting! Could you tell me where will it be happening?
Bruiloft ,Sounds nice! Where is it?
"Fiesta de barrio, pena Asarock ",That sounds great! Can you share the location of the event?
Verjaardagsfeest ,That sounds great! Can you share the location of the event?
Blues/bluesrock op zondagmiddag,Exciting! Could you tell me where will it be happening?
Cumpleanos,Cool! Could you tell me where is it?
Fiesta ,Exciting! Could you tell me where will it be happening?
Een creatief event,Exciting! Could you tell me where will it be happening?
Langedoikermarkt 2024,Cool! Could you tell me where is it?
Festival ,Cool! Could you tell me where is it?
50-jarig Jubileum KSA Ahoy Vinkt,Cool! Could you tell me where is it?
verjaardag,Cool! Could you tell me where is it?
Soiree BDE,Exciting! Could you tell me where will it be happening?
Feest met vriendengroep,Cool! Could you tell me where is it?
Cumpleanos,That sounds great! Can you share the location of the event?
Bruiloft,Exciting! Could you tell me where will it be happening?
Bruiloft,Exciting! Could you tell me where will it be happening?
Verjaardag 50 jaar,That sounds great! Can you share the location of the event?
Cena san Valentin ,That sounds great! Can you share the location of the event?
Candle light Dinner,Sounds nice! Where is it?
Wedding,Sounds nice! Where is it?
Birthday party,That sounds great! Can you share the location of the event?
Kermis,Cool! Could you tell me where is it?
evento,That sounds great! Can you share the location of the event?
Sweet 16 verjaardag ,Sounds nice! Where is it?
Valentinstag ,Cool! Could you tell me where is it?
cumpleanos,Sounds nice! Where is it?
Personeelsfeest,Sounds nice! Where is it?
Negocios,Exciting! Could you tell me where will it be happening?
35 jaar getrouwd 40 jaar bij elkaar,That sounds great! Can you share the location of the event?
Boda,Sounds nice! Where is it?
Verjaardag  ,That sounds great! Can you share the location of the event?
Fiestas Populares,Cool! Could you tell me where is it?
Feest (verjaardag),Sounds nice! Where is it?
gezellig optreden voor onze gasten die tijdens het Oerolfestival bij ons verblijven op de camping,That sounds great! Can you share the location of the event?
50. Geburtstag,Exciting! Could you tell me where will it be happening?
Buurtmarkt,That sounds great! Can you share the location of the event?
Aniversario ,Cool! Could you tell me where is it?
Concierto en bar,Exciting! Could you tell me where will it be happening?
Schoolfeest (leerlingen van 15/16 jaar),That sounds great! Can you share the location of the event?
cumpleanos - 12 anos,That sounds great! Can you share the location of the event?
bruiloft,That sounds great! Can you share the location of the event?
bruiloft,Cool! Could you tell me where is it?
Mariage ,Exciting! Could you tell me where will it be happening?
Festa de Aniversario,Cool! Could you tell me where is it?
Netwerkevent met festival thema,Cool! Could you tell me where is it?
Cumpleanos,Cool! Could you tell me where is it?
90 jaar,Sounds nice! Where is it?
Compleanno 18 anni,Cool! Could you tell me where is it?
Bruiloft,Cool! Could you tell me where is it?
Evento Deportivo,Exciting! Could you tell me where will it be happening?
Streekmarkt openlucht,Sounds nice! Where is it?
Anniversaire,That sounds great! Can you share the location of the event?
Comunion,Cool! Could you tell me where is it?
Tuinfeest ,Cool! Could you tell me where is it?
boda,Sounds nice! Where is it?
Verjaardag,That sounds great! Can you share the location of the event?
Lustrum Feest,Exciting! Could you tell me where will it be happening?
bedrijfsfeest,Cool! Could you tell me where is it?
Wedding,That sounds great! Can you share the location of the event?
Festival ,Cool! Could you tell me where is it?
50 jarig huwelijksfeest in de tuin (5000m) met ongeveer 50 gasten ,Sounds nice! Where is it?
Fiestas patronales,That sounds great! Can you share the location of the event?
Cumpleanos 50 anos,Cool! Could you tell me where is it?
Country party ,Cool! Could you tell me where is it?
Feest in kroeg 18/21 jaar ,Cool! Could you tell me where is it?
Bruiloft,Cool! Could you tell me where is it?
Recepcion,That sounds great! Can you share the location of the event?
Fiesta,Sounds nice! Where is it?
Kroegentocht,Sounds nice! Where is it?
Firmenevent,Cool! Could you tell me where is it?
concierto solidario,That sounds great! Can you share the location of the event?
opluisteren eetmaal,Exciting! Could you tell me where will it be happening?
Verjaardag,Cool! Could you tell me where is it?
40 cumpleanos,Exciting! Could you tell me where will it be happening?
Kroeg,Cool! Could you tell me where is it?
festival,Exciting! Could you tell me where will it be happening?
Drinkfeest van  2.   50 jarigen,Sounds nice! Where is it?
Festival ,Sounds nice! Where is it?
60e verjaardag ,Sounds nice! Where is it?
Vriendenweekend,Exciting! Could you tell me where will it be happening?
Geburtstag,That sounds great! Can you share the location of the event?
Bruiloft,That sounds great! Can you share the location of the event?
5 jarig bestaan van ons akoestisch duo,That sounds great! Can you share the location of the event?
fiesta de pueblo,That sounds great! Can you share the location of the event?
Bruiloft,Sounds nice! Where is it?
Birthday ,Cool! Could you tell me where is it?
concerto,That sounds great! Can you share the location of the event?
fiesta salsera flamenca ,That sounds great! Can you share the location of the event?
Blues avond,Cool! Could you tell me where is it?
Casamento ,Sounds nice! Where is it?
Bautizo ,That sounds great! Can you share the location of the event?
Cumpleanos,Cool! Could you tell me where is it?
"Jaarmarkt, tent",Exciting! Could you tell me where will it be happening?
Rockabilly Party,That sounds great! Can you share the location of the event?
Casamento ,That sounds great! Can you share the location of the event?
Kroegentocht,Sounds nice! Where is it?
Festa de Aniversario,Sounds nice! Where is it?
verjaardagsfeest ,That sounds great! Can you share the location of the event?
After work party voor het goede doel,Exciting! Could you tell me where will it be happening?
1000 bochten motortreffen,Cool! Could you tell me where is it?
Jubileam 50 jaar KSA AHOY Vinkt,Sounds nice! Where is it?
Kneipe,Cool! Could you tell me where is it?
Cumpleanos ,Exciting! Could you tell me where will it be happening?
Woonzorgcentrum,That sounds great! Can you share the location of the event?
Hochzeit,That sounds great! Can you share the location of the event?
Pedida de matrimonio,Sounds nice! Where is it?
Concierto antes de una proyeccion de Autocine,Exciting! Could you tell me where will it be happening?
Concierto antes de una proyeccion de Autocine,Exciting! Could you tell me where will it be happening?
Borrel en prijsuitreiking na grote bridgedrive,That sounds great! Can you share the location of the event?
 40 Cumpleanos,That sounds great! Can you share the location of the event?
Avondfeest (Vormsel dochter),Exciting! Could you tell me where will it be happening?
verjaardag surprise ,Exciting! Could you tell me where will it be happening?
Verjaardagsfeest,Exciting! Could you tell me where will it be happening?
Verjaardag,Exciting! Could you tell me where will it be happening?
Geburtstag,Exciting! Could you tell me where will it be happening?
Cena,That sounds great! Can you share the location of the event?
Thai Festival,Cool! Could you tell me where is it?
Thaifestival,Sounds nice! Where is it?
dorpscafe ambiance ,Sounds nice! Where is it?
Geburtstagsfest,That sounds great! Can you share the location of the event?
Restaurante ,Exciting! Could you tell me where will it be happening?
Vernissage,Exciting! Could you tell me where will it be happening?
Verjaardag,Sounds nice! Where is it?
Festival ,Cool! Could you tell me where is it?
Bruiloft,That sounds great! Can you share the location of the event?
Terrasmuziek,Exciting! Could you tell me where will it be happening?
t,Exciting! Could you tell me where will it be happening?
Bruiloft,Cool! Could you tell me where is it?
Bruiloft,Sounds nice! Where is it?
Festival  for Queen of the castle ,That sounds great! Can you share the location of the event?
Buurtfeest,That sounds great! Can you share the location of the event?
Uma festa,Sounds nice! Where is it?
Un cumpleanos en casa ,Exciting! Could you tell me where will it be happening?
50 jarige bruiloft,That sounds great! Can you share the location of the event?
Mariage western,Cool! Could you tell me where is it?
St patricks day Festival Woerden,That sounds great! Can you share the location of the event?
Summer vibes,Cool! Could you tell me where is it?
Geburtstag,That sounds great! Can you share the location of the event?
10jaar bestaan mtc amigo's ,That sounds great! Can you share the location of the event?
Personeelsfeest ,Cool! Could you tell me where is it?
Koningsdag (in de avond) in feesttent in het dorp,Cool! Could you tell me where is it?
Cumpleanos,Exciting! Could you tell me where will it be happening?
Verjaardag feest 50 jaar tuinfeest.,Cool! Could you tell me where is it?
Summit,Cool! Could you tell me where is it?
Technoparty im Kirchengebaude,Sounds nice! Where is it?
25-jarig huwelijk ,Cool! Could you tell me where is it?
Post boda ,Exciting! Could you tell me where will it be happening?
Feest,Cool! Could you tell me where is it?
Feria caballo,Sounds nice! Where is it?
Verjaardag 50+1,Exciting! Could you tell me where will it be happening?
Festas com socios ,Sounds nice! Where is it?
Spaanse avond,That sounds great! Can you share the location of the event?
Pensioen en samen jarig 135,Exciting! Could you tell me where will it be happening?
Fiesta fin de curso,Cool! Could you tell me where is it?
Aniversario ,Cool! Could you tell me where is it?
Cumpleanos 26,Exciting! Could you tell me where will it be happening?
Geburtstag,That sounds great! Can you share the location of the event?
Boda,Cool! Could you tell me where is it?
Boda,Exciting! Could you tell me where will it be happening?
Dansmiddag voor ouderen 50 +,Sounds nice! Where is it?
Jongeren centrum,Sounds nice! Where is it?
Hochzeit,Sounds nice! Where is it?
Toque en un salon de juegos ,That sounds great! Can you share the location of the event?
Casamento ,Sounds nice! Where is it?
Verjaardag (50ste) van mijn vrouw,Exciting! Could you tell me where will it be happening?
Verjaardag (50ste) van mijn vrouw,That sounds great! Can you share the location of the event?
Housewarming,Sounds nice! Where is it?
Diner,Cool! Could you tell me where is it?
Fin de saison,That sounds great! Can you share the location of the event?
Verjaardag,That sounds great! Can you share the location of the event?
Bruiloft,Cool! Could you tell me where is it?
ANNIVERSAIRE 60 ANS ,Exciting! Could you tell me where will it be happening?
pensioenfeest,Sounds nice! Where is it?
Cumpleanos,Cool! Could you tell me where is it?
50 Cumpleanos,Exciting! Could you tell me where will it be happening?
25 jarige bruiloft,That sounds great! Can you share the location of the event?
Mayo,That sounds great! Can you share the location of the event?
Verjaardag,Exciting! Could you tell me where will it be happening?
Pasen,Sounds nice! Where is it?
Sociaal bijeenkomst,Cool! Could you tell me where is it?
